rating	effectiveness	benefitsreview
9	considerably effective	blood sugar controlled levels around 100-110, blood pressure had been normal ever since i was placed on these b/p medications.xanax was the only one that could prevent anxiety and panic attacks and help me sleep. as for fosamax, i have not had a follow up bone density so i do not know how beneficial it is for treating osteoporosis
5	highly effective	i have suffered of rapid heart rate for sometime because of my thyroid problem. i was given this medicine to get my heart rate controlled. first few weeks the medicine did not seem to work for me but my doctor increased the dosage to twice a day, then that was the time i started to feel my heart rate slow down. the medicine is definitely effective but i guess the effect of it depends on the individual as it requires a certain dosage for it to work effectively.
4	moderately effective	the use of premarin reduced hot flashes and kept my skin looking younger. my skin doesnt look good since discontinuation of 
10	highly effective	lovenox is given in subsequent pregnancies to women with recurrent miscarriage due to autoimmune issues.  prior to taking lovenox, i had two second trimester losses and thanks to lovenox i was able to carry my two daughters to term.  it allowed my placenta to last the pregnancy without clotting and i was able to successfully have two children.
9	highly effective	i was severly depressed for weeks and would just cry all the time. i had tried several other antidepressants and none of them worked. one day my doctor said lets try a new drug called effexor xr. i was started on 75 mg for about 2 months and was still depressed so then i was increased to 150 mg and have been on it since. i an so much happier and my family is also. this medicine has been my life saver and recommend anyone depressed to take this one
9	highly effective	more energy and alertness, less fatigue & regular normal period duration. periods had been irregular, and often very heavy with severe cramps and clotting. mental attitude improved. i became less tired during the day and required fewer hours of sleep to feel fully rested. concentration improved and thought process seems much more clear after taking the medicine for about four months.
3	marginally effective	increased libido.
5	moderately effective	the treatment benefits are that i showed a slight decrease in wrinkles. i really think that if used with other products it could be better. i also used sunscreen everyday. i really didnt see a difference in the sagging of the skin . i thought it would help with collagen production. i am continuing to use the product. i hope i see a difference.
7	considerably effective	initially prescribed zoloft for depression , but after two weeks my condition was markedly worse. i realize that each of us have different tolerances to various substances, and after my gp changed the medication to daily of cymbalta my condition started to improve, but relapsed after about 3 weeks. the assumption was that i had required the higher dose of daily, and since taking daily my condition has improved to be close to my normal happy self with interests in various things. my advice is to find the medication that 'agrees' with you and stick with it for at least 1 month.
1	marginally effective	sore throat considerably better
9	considerably effective	during first 12 months... lowered total cholesterol by 100 points, ldl by 90 points, and triglycerides by 74.11 months after starting medication, angina brought me to the er. cardiac catheterization was done and 60% blockage  found. 1 year after that,more angina, another cath. and no change in blockage was found.
1	ineffective	nothing
8	considerably effective	the treatment helped the patient focus on her daily tasks and enabled her to 'get going' in the morning.  in turn, the patient was able to exercise daily which also helped her maintain concentration throughout the day.  daily exercise also helped her maintain her moods at a stable level.
8	considerably effective	blood pressure medicine lowered pressure and controled very well. starting bp was 140/100 to now at 115/65 or close to that. thyroid medicine used after partial thyroidectomy due to benign cyst. can't tell whether working on not. this is mostly based on acceptable blood levels.
6	considerably effective	infection cleared up but the cough did not. the bronchitis returned and is still present. the z pack was used on 2 seperate occasions but after the cough mucus was back to a clear color, my physician said i was fine. it is 3 weeks later and i still have bronchitis and although my coughing is better it certainly is not gone.
8	considerably effective	stops persistent coughs in 30 days.
8	considerably effective	the benefits were great. i really liked because it didnt give me side effects like the other medication i used to take did. i would wake up in the day feeling refreshed. as i was taking for my schizophrenia  i would always wake up feeling exhausted and tired;still, even though i would take the medicine during the nights! i used to be stressed and aggravated all the time before and  now that im on  im emotionally numb and the voices in my head vanished. so i had a good nights sleep and didnt wake up as tired as used to make me. :]
8	highly effective	was able to study 6 hours in a row, pay attention in class rather than daydream, made me want to be perfect and learn everything.
10	highly effective	dramatic loss of weight and inches first week.  settled into meridia's program provided over the internet (comes with prescription .  promised myself to follow the rules.  the toughest for me, was not to weigh myself everyday.  meridia wanted me to check only once a week and im glad i refrained.  the thrill of seeing a huge difference each week has kept my knees from complaining.  the strength of meridia has never lessened.  if i forget to take it, i feel like the bottom of my floor has opened up and i am in free fall.  it really is strange...  when i take it with my vitamins each morning, it gives me a definite feeling of support.  i am loosing 2 lbs each week along with inches.  im doing better than what they advertise but that is probably because i have a gym in my home.  i walk 70 miles/mo. and do free weights.  i also love my whey protein porridge in the morning with blueberries, shake for lunch and balanced meal for dinner.  i do eat snacks.  a starbucks coffee (also made at home), with 1/2 an energy bar... or, an orange.  responsible eating.  i also understand the dynamics of over eating, being menopausal with depleted hormones.  meridia has been a life saver for me.  thanks to my fabulous doctor, who is also using it.
10	highly effective	i was having panic attacks and very high anxiety. effexor xr helped to reduce the anxiety and eliminate the panic attacks. my depression is much, much better.
8	considerably effective	lessened the symptoms of my depression after taking the medication for about 2 to 3 weeks time, increased my appetite level, made my sleep more regular (i was either sleeping too much, or too little before taking the medication), increased my energy level
9	highly effective	i was able to live, xanax gave me the ability to face life and dissolve my constant fear
10	highly effective	cleared up chronic eczema.   especially effective on elbows and legs.
1	ineffective	was prescribed in hospital to relieve nausea i was suffering, post 
10	highly effective	after just three weeks, i felt immensely better and began to enjoy the things that previously i had enjoyed--liked gardening and playing tennis. i also slept soundly. it lifted my mood dramatically, but never made me manic. i also felt more like being with people and noticed that i was no longer so preoccupied with myself or awkwardly self-consciousness. in short, i wasn't depressed and anxious anymore!
10	highly effective	i no longer suffered from heartburn and acid reflux.  one pill per day allows me to enjoy eating again and have no adverse effects from any type of food.  at least none that i am aware of.
7	moderately effective	elevation of mood and clarity of thought.  progress stalled out at 300 mg, but with increase to 450 mg can tell the difference.  im able to finally think and plan ahead and chip away at all the clutter i've not been able to deal with which accumulated while depressed.
8	highly effective	i have tried so many anti depressants and always go back to zoloft.. works the best and is least expensive.. $10 a month compared to cymbalta for $400 a month.. it really works for me well.
5	moderately effective	this drug did not completely eliminate outbreaks. while it may have diminished length and extent of outbreak, still had more than expected. decided not to take any longer and had better results taking olive leaf extract daily
3	marginally effective	resume ovulation and maintain hormonal balance
9	highly effective	all symptoms of sinus infection gone by third day.
7	considerably effective	lowered heart rate from 100bpm+ to 65 and held blood pressure at a near-perfect level. episodes of extremely high heart rate (200bpm+) suddenly initiating and sustaining for several hours diminished in frequency from at least once every 1-2 weeks to three times over one year.
4	moderately effective	got rid of hot flashes but made other things much worse.
1	moderately effective	did have elimination of frown lines and crows feet but no one cares about having wrinkles or not when you are paralyzed.  sadly wrinkles returned in 6 months but large nerves in my legs and and body continue to suffer daily with weakness several years later.   risks too great for some temporary cosmetic procedure
9	highly effective	after suffering a spinal cord injury in 1987 resulting in quadriplegia (c5/c6 complete), i experienced disassociated pain that was concentrated in my right thumb.  the problem got increasingly worse over the following years.  i ended up having to take a lot of ibuprofen and vicodin, just to relieve the pain announce to allow me to get some work done.  however, the resulting side effects caused me to sleep a lot.  it also lead to depression.  i was finally given a prescription for gabapentin to try out.  it started working almost immediately.  after about two weeks i was rarely having the pain in my thumb anymore.  it doesnt cause me to get sleepy or feel drugged (like the vicodin) so i have been able to work and concentrate on things once again.  it also seems to have helped with my depression, although that may have more to do with not having to deal with the pain, or the side effects of the pain relievers i was taking before.
1	ineffective	dexedrine as well as effexor, i found for my add works well the first few times, then the efficacy wears off because of tolerance.so now i take supplements, and find they work just as well but take 2 months to feel effects.
9	highly effective	i can recommend a reputable pharmacy (aricept) - org i received the order and it was on time and the pills work great.p.s. 5% discount coupon code: 9sh73h
10	highly effective	this medicine was very effective.  it calms my stomach and i do not feel constant contraction and nervousness in my stomach.
7	considerably effective	the accutane dried my skin and it was not oily like before i took the drug.  it helped in newly developing acne and cleared up the acne i already had.
10	considerably effective	reduction in visible tremor, caused by stress and kinetic movement. 100% reduction in headaches during period.
10	highly effective	skin is clear smooth and brite. best it has looked in years
4	marginally effective	allowed client to sleep without itching.
7	considerably effective	ability to function/interact better especially in public.
7	highly effective	reduced bowel inflammation over a long period of time. when flare ups were severe, patient had to increase dose to daily and the dosage was tapered back to original dosage of 
8	highly effective	depression was lifted. anxiety lessened. general feeling of well-being for the first time in my entire life.
7	moderately effective	the drug helped to lift me out of the worst part of the depression, but it's not a complete cure.
2	ineffective	none particularly, i guess my appetite was reduced but after a while thats not a good thing. i only took them for 2 weeks so i didnt give then enough time to kick in and work probably because the side effects were too much to take
1	ineffective	none- did not relieve symptoms
10	highly effective	i have my life back.  that is the main treatment benefit.i suffered from impulsive behaviors, probably the most harmful/dangerous of them being binge-eating and bulimia.  since taking lamictal at for 4 months now my eating habits have become completely normal.  i have not purged in 3 months.  this is amazing.  i would binge eat and purge because of anxiety.  now i feel like a normal person--not obsessed with food, i eat when i am hungry, stop when satiated.  i have lost a lot of weight (20 pounds in 3 months without dieting/counting calories, etc.)...nothing was wrong with my metabolism, it was the impulsive eating, stealing food from others, throwing it up (which gave me a high--not just to get rid of the calories, but it calmed me...).  i love the lamictal for this because it's not like some meds that make you lose weight by destroying the appetite.  i am just a normal person now!  i also quit the lexapro as it was triggering hypomanic episodes.  the lamictal is stabilizing my moods--it doesnt numb the depression like the ssris i have been on.  i feel things.  i am clear-headed.  but i am able to step back and not be hurt by every look i get from people, i am not paranoid anymore, i can wake up in the morning with energy and i fall asleep within 3 minutes of hitting the pillow.  i get sleepy at 10pm.  i am not hyper and can sit still for more than 2 minutes.  :-)all good for me.  this is the right medication for me...
7	considerably effective	i was able to focus and organize my thoughts in a clear and concise manner.  i completed tasks more efficiently and had more patience with my children.
10	highly effective	"adderall greatly improved my focus and concentration.  before my diagnosis of adult add, i had a very difficult time focusing and staying on task.  i also experienced ""hyper-focusing"", which prevented me from getting things done at work in a timely manner.  it has also helped improved my memory."
10	highly effective	"i had debilitating panic attacks and agoraphobia and celexa completely saved me, allowed me to go live my life again. i even took a low dose and it still worked amazingly well, though it did take nearly a month to ""kick in."""
1	marginally effective	i felt better for the first few days, mood-wise.  but then i got depressed again.  so i guess that's not a benefit.
9	highly effective	strattera helped my son slow down without making him groggy or taking away from his personality.
6	considerably effective	i've only been on it for a week but i've noticed a change already. i am more awake and it seems as though a fog has been lifted. i am thinking more clearly and don't feel so down.
3	moderately effective	"i am in reasonable good health. i am non-diabetic, serum glucose level is normal [fasting=100, pp=104]. i am a non-smoker since 7th march, 1975 [prior to that i smoked 60 cigarettes a day years].my blood lipids are within normal limits  [total cholesterol=108, hdl=36, ldl=62,vldl=10.hdl is a bit low [36] but tc:hdl ratio=3.00 and appears to be within favourable range of low risk of ""up to 4.5"". kidney function is also within normal range. liver function is also normal except sgpt=46. is normal. hb%=15.1. serum prostate specific antigen=0.75, well within normal range."
9	highly effective	birth control made easy only once a month
5	moderately effective	the acne has decreased and i have not had major skin irritation or sunburn like i know other acne treatments can cause.
4	marginally effective	i did not notice much of an increase in milk production, but is difficult to say.  i was nursing and pumping milk at the time, and wanted to increase supply.
8	considerably effective	reduced total cholesterol by 42 / hdl increased by 5
9	considerably effective	lowered blood pressure
9	moderately effective	lowered blood pressure, regression of lvh.
3	marginally effective	slight improvement in reduction of my mild acne.  to be honest, the improvement was not even noticeable after two months..
1	considerably effective	lowered viral load and increased t cell count. also a benefit was the once a day dosing.
7	considerably effective	i had severe coughing fits for more than two weeks. several varieties of over the counter medications did not seem to help, neither did home remedies. finally i consulted my physician and she proscribed amoxicillin. i took it for 10 days, 500 mg tablets three times daily with food. at the end of the treatment period my coughing had subsided and then disappeared completely.
9	highly effective	it really helps to stop overeating and to become thinner. also you're not drink alcohol at all and its become your habit ) cause m. is not compatible with drinking. you have a lot of energy, do not thinking what to eat, where to eat and etc.. no any narcotic pleasure or panic, i had no any psycho effects at all. only sleeping less may be.
6	considerably effective	i felt more flexible and i could sleep better.  also, i could return to work much faster than expected.
8	considerably effective	drug was effective in helping the me the sleep i needed. did its job flawlessly.
7	considerably effective	i was plagued with sleeplessness, and the seroquel worked wonders for that. i've noticed a decrease in the speed of my thoughts and can concentrate much better than before.
7	highly effective	it made me happier. i did not feel down and hopeless while on the drug.
10	highly effective	no longer caught up in constant delusions,able to attend partial hospital program 5 days a week. i maintain my own apartment and live with independence.i socialize with friends and i am no longer in and out of hospital.i look forward to joining the y.m.c.a. and start exercising and also am considering a part time job.
4	moderately effective	hopefully it got rid of many actinic keratoses permanently, but hard to say.  i think it made my skin look better, though.
10	highly effective	i was able to stay successfully fall asleep and stay asleep the entire night.  i typically take 1-2 hours to fall asleep.  this starts to work in 30 minutes and allows me to get a full nights sleep without continuously waking up throughout the night.
8	highly effective	longer life expectancy but wish i had know that my ovaries could be turned off before i started the drug then switched on again afterwards. as it is i went into a early menopause with very, very,  severe side effects.please get your doctor to talk about all the possible side effects of menopause, including sexual.
1	marginally effective	the benefits were to reduce my cholesterol
10	highly effective	doctor prescribed acyclovir for cold sores and said it would reduce duration of cold sores. in fact, it has completely eliminated flare ups for over 5 years. before i started taking it, i would get a cold sore once or twice a year. it is very important to have a dose available at all times, because it is crucial to start taking it at the first sign of tingling. the effectiveness of this drug has far exceeded my expectations.
6	considerably effective	the drug was used for removal of harmful stomach bacteria; it was a strong course of drugs but effective.
10	highly effective	i get very bad panic attacks and completely break down no matter where i am. i decided that i couldnt let it control my life anymore, so i talked to my doctor and he prescribed me clonazepam. this drug is very dependable and works fast. whenever i feel anxiety coming on i will take 1 or 2 pills and im fine.
8	considerably effective	completely eliminated my acne while i was on the drug, however acne did return once i stopped, though not as bad.
7	considerably effective	although it did not completely rid me of my migraine it helped to dull the pain. i was actually able to go to work with a migraine instead to taking a day off to just lie still.
4	highly effective	treated pain due to an open wound from abdominal surgery
8	highly effective	achieved and maintained long term sobriety. no longer was exposed to the dangers of active addiction  began leading a healthy and productive lifestyle. overall health improved. mental health improved and stabilized.
10	highly effective	advair keeps my asthma completely in control if i am faithful to take the required dosage each day.  i have taken fluticasone before, but it seems to be the addition of salmeterol that is the key for keeping my asthma under control.
1	marginally effective	none yet
4	highly effective	in one year, i only had two periods. my periods before depo were 2-3 days and very light, on depo they were longer and heavier. it is so convenient not having to remember to take a pill everyday at the same day. it was also 100% effective with preventing pregnancy for me.
4	considerably effective	the ortho tri-cyclen provided effective birth control, and it also did cause my menstrual cycle to be more regular. my periods were less heavy, and i did not have such severe menstrual cramping each month while i was taking the pills. there are no other benefits to taking the pill that i am aware of.
7	highly effective	almost 100% elimination of allergy symptoms
7	moderately effective	decreased crying and depression.  decreased anxiety.  got rid of insomnia.
5	moderately effective	i thought the benefits would be one period every 3 months, pregnancy prevention, regulated periods. i also read that they would be lighter and shorter and help with acne. wrong!
10	highly effective	"initially diagnosed with gerd 13 years ago, i was miserable with c/o heartburn and an uncomfortable epigastric ""feeling"" after i was diagnosed with a hiatal hernia and gerd. started on prilosec and cut back on caffeine and quite smoking. i have not experienced any symptoms since that time."
8	highly effective	before treatment i could not breathe sufficiently to move about. after taking the medication for approximately three days the symptons began to subside and i was albe to function again. all told it took approximately one week before i could return to normal activities.
7	highly effective	bringing heart rate down from dangerous and very painful levels to comfortable levels. this was generally achieved within half an hour and lasted for many hours (i.e. until the had passed - so no repeat dose usually required).
7	considerably effective	controlled loose stool and fluid loss due to chemo; nausea control; control of mouth thrush, sores.  the in particular worked much better than for diarrhea control and fluid retention.  it also stopped colon muscle spasm.
10	highly effective	birth control
5	moderately effective	i can't really say that the benefits were incredibly impressive. the topical treatment was used along side of an antibiotic for a series of weeks.(4-6) the acne condition improved, but never completely. eventually, after a couple more scattered, severe breakouts in the following years; the acne went away.
10	highly effective	the benefits were amazing.  after 3 days, i felt good.  i didnot want to stay home and not see anybody.
10	highly effective	reduced the fatigue, swelling and pain associated with ra
4	ineffective	in theory, my bones should have gotten stronger, as measured by the bone scan done at my gynecologist office once every 18 months
2	moderately effective	initial signs of infection appeared to be treated effectively.
9	highly effective	i was unable to go up and down steps without acute pain and unable to stand long or walk for too long without pain becoming unbearable.  i took my first dose of 100 mg  at bedtime and woke up in morning feeling almost like a new person.tremendous reduction in pain and spasms of leg with greater range of motion.   after a day or two i had to increase the dosage as the knee started to stiffen up again making walking and steps difficult.
10	highly effective	alprazolam worked wonders for me i wish i had gotten prescribed a long time ago, works very well for anxiety and panic.
9	highly effective	"methadone certainly took care of the back pain i was experiencing. it was better than the other pain meds i tried (vicodin, oxycontin, percocet). the methadone doesnt make me drowsy nor does it give me ""buzz""."
1	ineffective	none that i could see. made me very sick and weak.
8	moderately effective	i feel the treatment was very helpful in keeping my skin clear looking,and i think somewhat tighter,  it also  gave my face a healthy color and appearance ,it was less dull the way aging skin can become. i also think it did keep some lines at bay.it gave me a much improved appearance,i have been using renova for a few years and i will continue to use this cream for a long time to come.
7	considerably effective	helped me to feel better.  lessened anxiety, panic attacks, tension, emotional exhaustion.  i was able to tolerate being around people better because talking did not seem so loud. once i was used to the drug, it helped me get out of bed and function in day to day life better (falling asleep & getting out of bed was a serious struggle).  eventually with the combined therapy, i pretty much now feel like myself again, just with less energy reserve and ability to have discipline with my routine.  (for instance, i can't get up early, during the 5am, 6am hours and get to work on time like i use to.  in fact im late for everything now which is out of my character) can' tolerate multiple loads of stress with calmness and collectivity like i use to.  otherwise day to day life is manageable as long as i obey my bodies new limitations.i didnt gain weight or increase in appetite.  i struggled with appetite actually and at times had to force myself to eat.
7	moderately effective	"the benefits of tamoxifen have been to be cancer free 2 years after my diagnosis. hopefully this ""clean bill of health"" will continue as i begin year 3 of tamoxifen in my 5 year plan. the benefits of effexor help balance the mood swings caused by a lowered amount of estrogen in my body. tamoxifen does its job by keeping the estrogen blocked in my body so any abnormal cells can't feed on the estrogen. my cancer was highly estrogen-positive. lowered estrogen causes depression and mood swings. effexor helps to alleviate these symptoms along with my exercise regime and healthy eating habits."
8	considerably effective	i had terrible itching, watery eyes, and sneezing from seasonal allergies.  this medication did not completely eliminate my symptoms, but is reduced them to a tolerable level without making me too tired or doped up to function at work.
10	highly effective	i lived in a constant state of panic (shortness of breath, rapid heart rate, flushed feeling), and this medication completely erased all these symptoms.  i can now think clearly and make rational decisions.  i chose to stay on this very low dose and take an ativan on the rare occasion a panic attack breaks through.
2	moderately effective	a slight reduction in pain. i am diabetic and was warned that it would raise my blood sugars, but it significantly reduced the night sugars.
7	moderately effective	helps with ibs-c
5	marginally effective	the medication took almost thirty minutes to kick in.  once the medication started to take affect, i began to develop a tingling sensation in my left hand and later my right hand.  i also noticed my hands were very shaky after the medication was in my system for at least an hour.
5	considerably effective	my skin was much smoother and the pore size seemed to shrink.  wrinkles were diminished and age spots lightened.
10	highly effective	the medication eliminated the nausea/stomach upset. added benefit was weight loss because i could stop using food to settle my stomach.
7	highly effective	should complete decolonization of mrsa and hopefully ensure that infection does not reoccur.
8	considerably effective	my depression has lifted and i am able to concentrate more than i was previuosly
1	marginally effective	none
2	ineffective	at least i tested it to see if i had arth. before going through extensive testing.(i still have tto have test, but the doctor felt this might let us know which path to follow)
1	ineffective	there were no benefits.
7	considerably effective	lower cholesterol
10	highly effective	it stopped my multiple sclerosis progression.  i still take it.  there are a lot of ms patients  who are using it now.  it really works and is a very safe inexpensive drug.
10	highly effective	about 14 years ago i started hyperventilating for no apparent reason.  i would wake up in the morning and within an hour i felt like i had to struggle to breath.  this would continue all day, every day.  after 5 years, i was prescribed alprazolam (the generic xanax).  it worked almost immediately.  i still have some days that are worse than others, but it has been a lifesaver for me.  i take one when i get up and then 2 or 3 times again during the day as needed.  it stops the hyperventilating totally for the most part.
8	highly effective	the reduced my viral load, increased my sex drive from none to moderate and the side effects were just some stomach upset, which was fixed by reducing my dose to twice a day.
1	ineffective	none
3	marginally effective	i do not feel there were any benefits from this treatment - only side effects.weaning off the the drug was extremely difficult.
8	highly effective	i was diagnosed with bipolar ii disorder in february of 2009. i found that my manic states led to very erratic and inconsistent behavior. i also found the depressive lows to be particularly difficult to manage.in november 2009 i was prescribed seroquel by a urgent care physician. immediately i found its calming effects to be extremely relieving to my mania. i did, however, find it difficult to maintain a functioning state due to its sedating effects. i then switched to seroquel xr and found a much more successful experience. i was initially given seroquel xr paired with lexapro. while initially a good way to stop the mania, i found to be too much to function on. i decided to halve my seroquel xr dose to continuing to take of lexapro. this combo has been great and i am so much calmer and feel way more in control of my life. i do, however, find the sedating effects to be difficult upon awaking in the morning. i try to offset this by ensuring that i receive a full 8-10 hour rest after administering a dosage. i would highly recommend this combo to anyone that is having difficulty finding a mental balance between dark and light. this year of treatment has allowed me to find a calm that i have never quite experienced beforehand.
8	considerably effective	bone density increased.  i had a bone scan and showed on the border line of osteoporosis  (?)  well after taking this drug, my bone measurements increased.  no side effects and defiantly a good medication for us baby boomers
8	highly effective	most importantly, my blood pressure went back down to normal when my heart rate rose to a more normal level. i was then taken off the and my blood pressure has remained at a good level. additionally, my hair stopped falling out and wasn't as dry. also, my skin improved. before the medication, my skin was horribly dry and flaky. the changes did not take place overnight. i would say that it took about 3-4 months to see any improvement in my hair and skin.
9	considerably effective	"could fairly quickly fall asleep, and usually stay asleep  with little ""sleep hangover"" problem that most other medications result in. i could function in the morning. my general health started improving (fewer flues and colds, headaches, stress and depression, and i had much, much less pain as i started getting regular sleep."
1	moderately effective	terrible!  there are much safer alternatives than this poison.  most fluoroquinolones have been taken off the market.  johnson and johnson should be ashamed of themselves.  they have not warned doctors properly of the serious side effects eventhough the fda has placed two black box warnings!
8	considerably effective	the combination therapy worked well but after discontinuation of therapy the condition returned and was worse than previous time.
9	highly effective	it really helps keep my acne at bay - keeps pores clear and reduces frequency of inflamed pimples, reduces red marks from acne breakouts.  it is less drying/irritating than most other acne 
10	highly effective	indomethacin immediate reduced the very inflamed and painful swelling in first joint of my left forefinger, my first - and thanks to prompt treatment with this drug - my only attack of rheumatoid arthritis.  i didnt recognise this swelling as arthritis because it was my first attack, and i neglected to seek medical advice until the joint was extremely inflamed and swollen.  since this attack, i've used the nonsteroidal anti-inflammatory drug (nsaid) ibuprofen as needed to prevent further attacks.
1	ineffective	none - i only had extremely bad side effects, which cost me my job, my home and my car. i just don't have fifty words to describe no benefits - thank you. i still need twenty words - hmmm - how am i doing?  now i need ten words - can i quit now? ugh!
8	considerably effective	acid reflux was controlled as long as the capsule was taken first thing in the morning, less effective if taken later.
3	ineffective	with less dexedrine and minimal  i was able to sleep deeply when i finally did fall asleep. i also remember extremely vivid dreams. the house was kept super clean and i was motivated to finish tasks.
10	highly effective	i had spent a year trying to improve my food intake because of my bad skin.  this got rid of the acne within a matter of days. although i still have a few acne scars my skin is soft and feels fantastic.
2	considerably effective	pregnancy was prevented.
7	moderately effective	marked improvement in behavior
3	considerably effective	the antibiotic works
1	moderately effective	slight decrease in stiffness, and better degree of mobility of legs joints (ankles, knees and hips)
6	moderately effective	so far it's only been 3 days.  wellbutrin seems to give me a spike of energy which is nice.  still have the craving for cigs so im continuing to smoke like i usually do.
3	moderately effective	aromatase inhibitor to reduce recurrence of hormone-positive breast cancer- unknown effectiveness- no breast cancer 3 years after diagnosis
6	considerably effective	since using the retin-a along with the accutane, i have noticed a great improvement in the look of my skin.  there are less clogged pores and it definitely more smooth and even in skin tone.  any fine lines around my mouth and on my forehead have diminished but it hasn't helped much with fine lines around my eyes.
3	moderately effective	vytorin was prescribed to me to lower my cholesterol. i did not take the product long enought to see a significant drop in my cholesterol levels as i discontinued treatment.
8	considerably effective	i switched from zoloft because the cymbalta wasn't supposed to effect libido negatively.  having ended my marriage and gone through menopause i don't feel i can judge that aspect fairly.  however, i feel the cymbalta is much more effective in keeping the dark cloud off my head, allowing me to be more positive toward life on a consistent basis.
7	highly effective	slowed hair loss in front and top of scalp.  hair at the back of the scalp and on sides.  it doesnt appear that hair loss has ceased completely for mpb, but increased hair grow in another areas makes my head appear fuller
1	ineffective	none
